Type of Vehicle,Vehicle Number,Vehicle Entering Time,Departure Time,Date,Vehicle Owner Name
Four Wheeler,WB62HX7419,04:54:00,04:41:00,15-10-2025,Ritika Nair
Two Wheeler,WB08RD4438,17:30:00,20:05:00,15-10-2025,Aarav Sharma
Four Wheeler,KL04DF9518,02:20:00,06:37:00,15-10-2025,Divya Iyer
Two Wheeler,UP57HU8781,11:23:00,16:16:00,15-10-2025,Ishita Rao
Two Wheeler,WB11FR9734,05:50:00,05:33:00,15-10-2025,Yash Verma
Two Wheeler,AP91UL4623,07:37:00,08:10:00,15-10-2025,Divya Iyer
Four Wheeler,AP27SE2225,07:48:00,07:38:00,15-10-2025,Deepa Joshi
Four Wheeler,AP22YM4241,14:25:00,14:57:00,15-10-2025,Kavya Kulkarni
Two Wheeler,AP69MM9307,00:27:00,00:27:00,15-10-2025,Kriti Verma
Four Wheeler,DL42QU4457,20:24:00,20:33:00,15-10-2025,Shreya Desai
Four Wheeler,GJ32VQ8751,21:11:00,22:32:00,15-10-2025,Kavya Kulkarni
Two Wheeler,KA86CI5029,23:56:00,23:24:00,15-10-2025,Priya Patel
Four Wheeler,AP18SB1216,11:41:00,11:52:00,15-10-2025,Sameer Kulkarni
Four Wheeler,TN07NW6248,23:26:00,23:23:00,15-10-2025,Vikram Chatterjee
Two Wheeler,TN44OK2987,14:27:00,15:22:00,15-10-2025,Arjun Gupta
Two Wheeler,TN62HW8926,10:35:00,14:16:00,15-10-2025,Bhavya Patel
Two Wheeler,KL84JC0888,13:50:00,15:23:00,15-10-2025,Yash Verma
Four Wheeler,KL17CI1611,06:41:00,06:09:00,15-10-2025,Sana Kapoor
Two Wheeler,UP40NO7222,08:51:00,12:21:00,15-10-2025,Aisha Khan
Two Wheeler,KL24OG6198,09:17:00,09:15:00,15-10-2025,Divya Iyer
Four Wheeler,WB32JM0752,04:37:00,04:59:00,15-10-2025,Sneha Reddy
Four Wheeler,WB48MS0724,07:44:00,07:24:00,15-10-2025,Rupali Sharma
Four Wheeler,AP94UF9509,05:19:00,10:49:00,15-10-2025,Ananya Singh
Two Wheeler,WB67EY6398,14:56:00,18:52:00,15-10-2025,Deepa Joshi
Two Wheeler,RJ30BW1782,10:14:00,13:04:00,15-10-2025,Vikram Chatterjee
Two Wheeler,WB05QS1478,14:37:00,18:15:00,15-10-2025,Rohan Singh
Four Wheeler,KA30TY5981,11:50:00,11:52:00,15-10-2025,Aarav Sharma
Two Wheeler,TN92RI4477,22:22:00,23:47:00,15-10-2025,Pranav Sethi
Two Wheeler,UP99NH6083,12:45:00,12:02:00,15-10-2025,Sneha Reddy
Two Wheeler,UP20SU1131,13:06:00,15:47:00,15-10-2025,Kavya Kulkarni
Two Wheeler,AP51GE9885,23:03:00,23:08:00,15-10-2025,Nikhil Bhatia
Four Wheeler,GJ11WO0241,11:33:00,11:50:00,15-10-2025,Kabir Mehta
Four Wheeler,WB61ME3670,14:53:00,19:45:00,15-10-2025,Meera Nair
Two Wheeler,DL58OV2058,05:37:00,06:30:00,15-10-2025,Krishna Rao
Four Wheeler,MH10PD8179,23:56:00,23:49:00,15-10-2025,Nikhil Bhatia
Four Wheeler,TN01PF0422,07:54:00,07:28:00,15-10-2025,Aarav Sharma
Four Wheeler,DL10XO4253,09:50:00,10:39:00,15-10-2025,Rupali Sharma
Four Wheeler,RJ67WI5578,13:01:00,13:46:00,15-10-2025,Ritika Nair
Four Wheeler,TN69AG9114,04:29:00,05:38:00,15-10-2025,Rakesh Rao
Two Wheeler,MH82JC0056,03:40:00,05:16:00,15-10-2025,Ritika Nair
Two Wheeler,KA09LJ5143,04:17:00,04:56:00,15-10-2025,Neha Sharma
Two Wheeler,KA14BH1780,02:43:00,04:44:00,15-10-2025,Vivaan Kumar
Two Wheeler,DL97SL1552,01:54:00,02:02:00,15-10-2025,Simran Kaur
Two Wheeler,UP62YC1255,00:39:00,02:28:00,15-10-2025,Nikhil Bhatia
Two Wheeler,GJ24UW6695,06:30:00,08:21:00,15-10-2025,Manish Iyer
Four Wheeler,KA01XT5055,22:23:00,22:45:00,15-10-2025,Sameer Kulkarni
Four Wheeler,UP38ZB0647,19:46:00,23:08:00,15-10-2025,Rakesh Rao
Two Wheeler,RJ88BH7820,07:35:00,07:57:00,15-10-2025,Pranav Sethi
Four Wheeler,AP37PM4101,09:35:00,10:05:00,15-10-2025,Siddharth Nair
Four Wheeler,TN17ZL8301,01:35:00,02:17:00,15-10-2025,Mira Bhatia
Two Wheeler,KA87XP5833,20:53:00,22:35:00,15-10-2025,Karan Kapoor
Four Wheeler,RJ20NG7724,02:53:00,02:04:00,15-10-2025,Pranav Sethi
Four Wheeler,GJ48DV0791,21:00:00,21:56:00,15-10-2025,Rupali Sharma
Two Wheeler,UP17JW2525,21:23:00,21:00:00,15-10-2025,Mira Bhatia
Two Wheeler,GJ51TA2941,16:30:00,17:23:00,15-10-2025,Meera Nair
Two Wheeler,WB32KU2204,18:27:00,22:55:00,15-10-2025,Ankit Joshi
Two Wheeler,AP24YZ8781,02:21:00,04:11:00,15-10-2025,Tanvi Singh
Two Wheeler,TN13GF4183,06:25:00,12:02:00,15-10-2025,Vikram Chatterjee
Four Wheeler,WB44CM1780,02:11:00,02:11:00,15-10-2025,Sachin Yadav
Two Wheeler,MH64EV8699,11:25:00,11:06:00,15-10-2025,Meera Nair
Two Wheeler,AP85OH0384,11:11:00,12:23:00,15-10-2025,Pranav Sethi
Four Wheeler,UP87EZ1846,11:07:00,13:18:00,15-10-2025,Nikhil Bhatia
Four Wheeler,TN53FQ8538,03:56:00,03:57:00,15-10-2025,Karan Kapoor
Two Wheeler,MH58KA1250,13:10:00,15:34:00,15-10-2025,Rupali Sharma
Four Wheeler,MH63TL6513,04:53:00,06:13:00,15-10-2025,Neha Sharma
Four Wheeler,GJ73XO2408,22:16:00,22:55:00,15-10-2025,Sneha Reddy
Two Wheeler,KA88JT8832,12:23:00,16:30:00,15-10-2025,Anirudh Reddy
Two Wheeler,RJ42JC0720,07:31:00,07:00:00,15-10-2025,Pooja Mehta
Two Wheeler,MH94CQ0444,23:30:00,23:42:00,15-10-2025,Aisha Khan
Four Wheeler,DL75JJ0575,02:59:00,06:14:00,15-10-2025,Deepa Joshi
Two Wheeler,MH21HK4062,00:32:00,02:06:00,15-10-2025,Krishna Rao
Four Wheeler,TN13PY4296,02:10:00,03:18:00,15-10-2025,Anirudh Reddy
Two Wheeler,DL87LW5230,01:17:00,03:09:00,15-10-2025,Tanvi Singh
Two Wheeler,WB14ZV4767,03:11:00,05:21:00,15-10-2025,Neha Sharma
Two Wheeler,MH73FL2056,05:32:00,05:44:00,15-10-2025,Mira Bhatia
Two Wheeler,KA42JF0338,07:36:00,08:15:00,15-10-2025,Shreya Desai
Two Wheeler,AP46SF1333,16:45:00,16:28:00,15-10-2025,Rupali Sharma
Four Wheeler,AP36SD5472,13:31:00,15:22:00,15-10-2025,Rohan Singh
Four Wheeler,MH74NR7372,10:58:00,10:33:00,15-10-2025,Siddharth Nair
Two Wheeler,KA97HV5011,23:55:00,23:51:00,15-10-2025,Ananya Singh
Two Wheeler,RJ15EW7167,20:29:00,23:15:00,15-10-2025,Sneha Reddy
Two Wheeler,MH63ZB6430,13:57:00,14:08:00,15-10-2025,Yash Verma
Four Wheeler,KA77YJ8968,16:06:00,17:25:00,15-10-2025,Sneha Reddy
Four Wheeler,TN18YX5172,00:22:00,01:23:00,15-10-2025,Pooja Mehta
Two Wheeler,MH71PZ4901,00:17:00,00:57:00,15-10-2025,Krishna Rao
Two Wheeler,GJ68UG3552,10:04:00,12:39:00,15-10-2025,Arjun Gupta
Two Wheeler,UP38TU8890,13:36:00,14:35:00,15-10-2025,Tanvi Singh
Two Wheeler,WB19RU5541,13:56:00,17:04:00,15-10-2025,Divya Iyer
Two Wheeler,MH12MK1373,04:55:00,04:07:00,15-10-2025,Bhavya Patel
Four Wheeler,DL14UI9208,17:39:00,19:43:00,15-10-2025,Ritika Nair
Two Wheeler,AP33XZ1527,21:14:00,21:28:00,15-10-2025,Anirudh Reddy
Two Wheeler,DL35UU4858,22:01:00,23:47:00,15-10-2025,Ankit Joshi
Four Wheeler,KA36PG9160,05:38:00,06:37:00,15-10-2025,Divya Iyer
Four Wheeler,AP68JN7996,22:32:00,22:58:00,15-10-2025,Vikram Chatterjee
Four Wheeler,AP35QP6345,06:50:00,06:18:00,15-10-2025,Sana Kapoor
Four Wheeler,AP11NV7635,02:28:00,03:11:00,15-10-2025,Bhavya Patel
Four Wheeler,MH76KV5054,22:19:00,23:34:00,15-10-2025,Rakesh Rao
Two Wheeler,TN99AC3007,01:16:00,03:18:00,15-10-2025,Mira Bhatia
Two Wheeler,GJ86NN3857,13:25:00,13:35:00,15-10-2025,Ananya Singh
Four Wheeler,GJ85YP9537,11:22:00,16:12:00,15-10-2025,Rohan Singh
Four Wheeler,GJ21EH4857,14:32:00,16:33:00,15-10-2025,Karan Kapoor
Four Wheeler,GJ83DV7237,11:09:00,11:11:00,15-10-2025,Nikhil Bhatia
Two Wheeler,KL06IZ5427,11:35:00,14:21:00,15-10-2025,Neha Sharma
Four Wheeler,UP42VO5279,13:46:00,16:28:00,15-10-2025,Ritika Nair
Four Wheeler,KL08DN2853,22:39:00,23:57:00,15-10-2025,Aditya Patel
Two Wheeler,WB29QZ9314,03:40:00,05:37:00,15-10-2025,Rahul Desai
Four Wheeler,KL84HM5084,06:09:00,06:09:00,15-10-2025,Yash Verma
Four Wheeler,KL30NI5358,07:58:00,07:03:00,15-10-2025,Ankit Joshi
Four Wheeler,AP16KD2368,13:18:00,13:21:00,15-10-2025,Kavya Kulkarni
Four Wheeler,KA98XE0308,21:50:00,23:55:00,15-10-2025,Yash Verma
Two Wheeler,DL05TV4229,09:54:00,10:38:00,15-10-2025,Aditya Patel
Four Wheeler,UP12HE9875,20:57:00,20:54:00,15-10-2025,Sana Kapoor
Two Wheeler,DL15DT9710,00:23:00,01:05:00,15-10-2025,Kriti Verma
Four Wheeler,WB69IS9366,09:59:00,10:06:00,15-10-2025,Ishita Rao
Four Wheeler,RJ48EW3353,23:16:00,23:13:00,15-10-2025,Deepa Joshi
Two Wheeler,MH38MN4807,02:16:00,02:47:00,15-10-2025,Kavya Kulkarni
Four Wheeler,RJ44CK2344,20:54:00,20:38:00,15-10-2025,Ankit Joshi
Two Wheeler,GJ56RZ8097,06:14:00,07:25:00,15-10-2025,Kavya Kulkarni
Four Wheeler,KL22HW4765,11:52:00,14:05:00,15-10-2025,Kabir Mehta
Four Wheeler,GJ14YU5132,09:47:00,09:17:00,15-10-2025,Sachin Yadav
Two Wheeler,AP89QB7556,09:33:00,11:39:00,15-10-2025,Kavya Kulkarni
Four Wheeler,DL85LS6888,16:23:00,19:26:00,15-10-2025,Ishita Rao
Two Wheeler,RJ11CE1951,12:49:00,14:46:00,15-10-2025,Rohan Singh
Four Wheeler,MH73UD5620,16:08:00,19:41:00,15-10-2025,Priya Patel
Two Wheeler,WB29FG1870,02:44:00,04:06:00,15-10-2025,Divya Iyer
Four Wheeler,KL25UH0793,14:11:00,16:54:00,15-10-2025,Ankit Joshi
Two Wheeler,AP75IL3530,05:45:00,07:46:00,15-10-2025,Sana Kapoor
Two Wheeler,KA11FJ1419,19:44:00,22:36:00,15-10-2025,Vikram Chatterjee
Two Wheeler,RJ37HA1464,10:16:00,11:09:00,15-10-2025,Rahul Desai
Four Wheeler,GJ42CS7561,17:25:00,20:04:00,15-10-2025,Aditya Patel
Two Wheeler,KA15HX2210,05:32:00,06:12:00,15-10-2025,Shreya Desai
Two Wheeler,MH94YS9282,07:55:00,07:51:00,15-10-2025,Sana Kapoor
Two Wheeler,AP35EU7408,02:08:00,07:59:00,15-10-2025,Sachin Yadav
Two Wheeler,KL56FK8578,07:42:00,09:31:00,15-10-2025,Aisha Khan
Two Wheeler,TN37NS6224,08:20:00,08:00:00,15-10-2025,Yash Verma
Four Wheeler,DL83BI6678,18:37:00,19:34:00,15-10-2025,Kriti Verma
Four Wheeler,MH66HJ3280,22:56:00,22:25:00,15-10-2025,Shreya Desai
Four Wheeler,RJ06KR0611,16:59:00,16:34:00,15-10-2025,Siddharth Nair
Four Wheeler,MH28EP2437,16:07:00,16:07:00,15-10-2025,Ankit Joshi
Two Wheeler,UP60WE3973,21:24:00,22:05:00,15-10-2025,Anirudh Reddy
Two Wheeler,DL93PV4663,16:42:00,16:14:00,15-10-2025,Neha Sharma
Four Wheeler,RJ10PT7912,12:39:00,12:23:00,15-10-2025,Karan Kapoor
Two Wheeler,UP95RK8218,03:36:00,03:42:00,15-10-2025,Karan Kapoor
Four Wheeler,MH43MQ0807,17:59:00,23:04:00,15-10-2025,Sneha Reddy
Four Wheeler,TN23LN5669,17:47:00,20:34:00,15-10-2025,Sameer Kulkarni
Four Wheeler,DL40IB5409,12:59:00,17:55:00,15-10-2025,Simran Kaur
Four Wheeler,MH62SS2351,17:50:00,17:02:00,15-10-2025,Sachin Yadav
Two Wheeler,MH19KR3002,03:53:00,03:14:00,15-10-2025,Tanvi Singh
Two Wheeler,UP74PM1390,20:31:00,20:04:00,15-10-2025,Siddharth Nair
Two Wheeler,KA92PF2792,11:40:00,12:12:00,15-10-2025,Ankit Joshi
Four Wheeler,TN49YM4411,16:46:00,16:38:00,15-10-2025,Shreya Desai
Two Wheeler,RJ01WM8906,15:22:00,16:56:00,15-10-2025,Vikram Chatterjee
Four Wheeler,UP32CT1418,13:08:00,17:49:00,15-10-2025,Simran Kaur
Four Wheeler,RJ32PF9744,03:24:00,04:01:00,15-10-2025,Divya Iyer
Four Wheeler,GJ58OU9854,22:25:00,23:11:00,15-10-2025,Ananya Singh
Four Wheeler,AP62RL4033,14:43:00,14:47:00,15-10-2025,Aisha Khan
Two Wheeler,TN51UW7163,19:51:00,20:30:00,15-10-2025,Priya Patel
Two Wheeler,AP94NC9753,00:55:00,00:12:00,15-10-2025,Manish Iyer
Four Wheeler,KA81HK1986,05:12:00,11:51:00,15-10-2025,Rakesh Rao
Two Wheeler,AP74XG7729,22:15:00,23:50:00,15-10-2025,Pooja Mehta
Two Wheeler,DL17HM4800,16:33:00,16:56:00,15-10-2025,Kavya Kulkarni
Four Wheeler,MH02EP6637,06:43:00,08:26:00,15-10-2025,Mira Bhatia
Two Wheeler,RJ61XM6696,16:12:00,17:47:00,15-10-2025,Pranav Sethi
Four Wheeler,MH05LD3995,06:58:00,09:24:00,15-10-2025,Yash Verma
Four Wheeler,AP78DE5746,04:37:00,07:59:00,15-10-2025,Rahul Desai
Four Wheeler,TN81VY9587,06:25:00,09:48:00,15-10-2025,Aditya Patel
Two Wheeler,TN46RT1732,18:19:00,18:41:00,15-10-2025,Karan Kapoor
Four Wheeler,UP07OL2310,15:59:00,16:01:00,15-10-2025,Meera Nair
Four Wheeler,RJ91WC2406,04:36:00,04:22:00,15-10-2025,Arjun Gupta
Two Wheeler,MH44SS4351,08:47:00,09:53:00,15-10-2025,Pooja Mehta
Two Wheeler,TN90EK1552,12:27:00,17:53:00,15-10-2025,Neha Sharma
Four Wheeler,GJ17OF8054,18:16:00,20:27:00,15-10-2025,Sachin Yadav
Two Wheeler,DL05NN4828,14:07:00,18:25:00,15-10-2025,Arjun Gupta
Two Wheeler,MH96KH8166,03:33:00,04:03:00,15-10-2025,Pranav Sethi
Four Wheeler,GJ72WW8063,13:55:00,16:02:00,15-10-2025,Kriti Verma
Four Wheeler,GJ11IQ8048,19:02:00,20:07:00,15-10-2025,Sachin Yadav
Four Wheeler,DL52NO3300,00:27:00,00:17:00,15-10-2025,Mira Bhatia
Four Wheeler,UP77HT0169,07:55:00,07:08:00,15-10-2025,Karan Kapoor
Four Wheeler,GJ81DC4772,12:32:00,12:42:00,15-10-2025,Neha Sharma
Two Wheeler,WB07WJ7225,06:54:00,08:27:00,15-10-2025,Simran Kaur
Four Wheeler,GJ37MZ7823,17:13:00,17:20:00,15-10-2025,Vikram Chatterjee
Two Wheeler,WB77SX2397,22:17:00,22:18:00,15-10-2025,Ritika Nair
Four Wheeler,KA23RT1537,22:25:00,22:08:00,15-10-2025,Manish Iyer
Two Wheeler,GJ92GP6825,23:44:00,23:33:00,15-10-2025,Divya Iyer
Four Wheeler,KA54WE9609,13:47:00,13:14:00,15-10-2025,Ankit Joshi
Four Wheeler,MH58SZ9115,01:25:00,03:06:00,15-10-2025,Tanvi Singh
Two Wheeler,TN49QT2408,20:00:00,22:34:00,15-10-2025,Priya Patel
Four Wheeler,TN93DE3253,02:40:00,06:55:00,15-10-2025,Meera Nair
Two Wheeler,MH31DJ8126,21:30:00,21:30:00,15-10-2025,Sneha Reddy
Two Wheeler,GJ92NS9385,04:05:00,08:18:00,15-10-2025,Ankit Joshi
Four Wheeler,UP26HL7600,03:47:00,03:44:00,15-10-2025,Kriti Verma
Two Wheeler,RJ08SE0409,17:01:00,17:11:00,15-10-2025,Deepa Joshi
Two Wheeler,TN97MK8740,00:36:00,00:18:00,15-10-2025,Shreya Desai
Four Wheeler,KL33LD1379,02:04:00,03:34:00,15-10-2025,Deepa Joshi
Four Wheeler,RJ46DO9996,16:01:00,16:31:00,15-10-2025,Mira Bhatia
Two Wheeler,KA60IA8212,07:26:00,08:21:00,15-10-2025,Pooja Mehta
Four Wheeler,UP46KJ8847,19:46:00,20:07:00,15-10-2025,Rupali Sharma
Two Wheeler,KL48FR0346,15:58:00,19:49:00,15-10-2025,Mira Bhatia
Four Wheeler,KL36CO7568,01:30:00,02:31:00,15-10-2025,Sneha Reddy
Four Wheeler,TN76XV6238,13:41:00,14:03:00,15-10-2025,Pranav Sethi
Two Wheeler,WB94WB0464,04:00:00,06:29:00,15-10-2025,Karan Kapoor
Four Wheeler,WB15HD7960,20:39:00,22:35:00,15-10-2025,Pooja Mehta
Four Wheeler,MH22RQ9836,14:26:00,20:02:00,15-10-2025,Ishita Rao
Four Wheeler,KA28RA9608,07:04:00,07:10:00,15-10-2025,Divya Iyer
Two Wheeler,MH43OO3050,15:22:00,17:22:00,15-10-2025,Aditya Patel
Two Wheeler,GJ80ZR9732,19:59:00,23:10:00,15-10-2025,Aditya Patel
Two Wheeler,WB50KL0627,13:35:00,14:32:00,15-10-2025,Rupali Sharma
Four Wheeler,WB11YG6997,20:49:00,22:27:00,15-10-2025,Nikhil Bhatia
Four Wheeler,TN25QC0364,04:49:00,06:21:00,15-10-2025,Sachin Yadav
Two Wheeler,RJ89UT7266,12:30:00,13:51:00,15-10-2025,Aditya Patel
Two Wheeler,GJ29GX7596,06:20:00,06:08:00,15-10-2025,Meera Nair
Four Wheeler,KA86GX0836,19:59:00,20:49:00,15-10-2025,Neha Sharma
Two Wheeler,DL62TD8766,02:44:00,02:28:00,15-10-2025,Divya Iyer
Two Wheeler,DL46SX4558,17:18:00,18:47:00,15-10-2025,Tanvi Singh
Two Wheeler,RJ02QY4010,15:14:00,21:26:00,15-10-2025,Neha Sharma
Two Wheeler,MH81FV2498,13:35:00,15:56:00,15-10-2025,Ananya Singh
Four Wheeler,DL75RV1576,08:05:00,08:17:00,15-10-2025,Rakesh Rao
Two Wheeler,MH49NO6919,11:29:00,13:13:00,15-10-2025,Siddharth Nair
Two Wheeler,WB84PM4836,10:38:00,12:54:00,15-10-2025,Aditya Patel
Four Wheeler,TN43CY3958,08:14:00,13:46:00,15-10-2025,Kavya Kulkarni
Four Wheeler,KA48FZ0014,14:16:00,14:30:00,15-10-2025,Rupali Sharma
Four Wheeler,GJ30MI0338,14:42:00,15:28:00,15-10-2025,Sachin Yadav
Two Wheeler,KA66NK0804,18:37:00,20:35:00,15-10-2025,Krishna Rao
Four Wheeler,DL17AP6908,20:20:00,21:28:00,15-10-2025,Krishna Rao
Two Wheeler,DL91UK2467,10:17:00,13:28:00,15-10-2025,Divya Iyer
Two Wheeler,TN89YL3236,09:52:00,12:39:00,15-10-2025,Kabir Mehta
Four Wheeler,KL79BZ4689,17:14:00,21:59:00,15-10-2025,Meera Nair
Four Wheeler,KA85YO3165,06:07:00,07:21:00,15-10-2025,Vikram Chatterjee
Two Wheeler,GJ95EZ1866,14:10:00,15:23:00,15-10-2025,Deepa Joshi
Four Wheeler,KL82NK6585,13:11:00,14:12:00,15-10-2025,Aisha Khan
Four Wheeler,TN42CX5096,04:43:00,05:45:00,15-10-2025,Rakesh Rao
Four Wheeler,MH05RF1071,22:06:00,23:29:00,15-10-2025,Manish Iyer
Four Wheeler,WB05HV5813,10:34:00,10:03:00,15-10-2025,Vikram Chatterjee
Four Wheeler,KA58TL4864,20:23:00,23:24:00,15-10-2025,Aarav Sharma
Four Wheeler,KL61YP9050,18:58:00,20:48:00,15-10-2025,Sachin Yadav
Two Wheeler,WB02LN2652,05:26:00,08:30:00,15-10-2025,Pooja Mehta
Four Wheeler,UP06FL1270,07:07:00,07:42:00,15-10-2025,Kriti Verma
Four Wheeler,WB59OA4416,03:58:00,05:07:00,15-10-2025,Deepa Joshi
Four Wheeler,RJ17GK4788,03:03:00,03:09:00,15-10-2025,Shreya Desai
Two Wheeler,TN76XH8565,01:45:00,03:55:00,15-10-2025,Simran Kaur
Two Wheeler,KL02QE7869,22:20:00,22:34:00,15-10-2025,Neha Sharma
Four Wheeler,GJ54YX9592,10:50:00,16:38:00,15-10-2025,Kavya Kulkarni
Two Wheeler,KA08DP4441,06:14:00,09:37:00,15-10-2025,Sameer Kulkarni
Four Wheeler,UP08LW9372,20:39:00,20:35:00,15-10-2025,Pooja Mehta
Four Wheeler,MH83JY7693,13:09:00,17:59:00,15-10-2025,Ritika Nair
Four Wheeler,GJ28ZZ3781,20:04:00,21:29:00,15-10-2025,Rohan Singh
Two Wheeler,WB48CB2798,07:10:00,07:47:00,15-10-2025,Aditya Patel
Two Wheeler,UP47FJ3450,10:57:00,14:07:00,15-10-2025,Karan Kapoor
Four Wheeler,GJ83HP7766,13:34:00,14:37:00,15-10-2025,Kavya Kulkarni
Four Wheeler,DL06EH5844,23:51:00,23:42:00,15-10-2025,Ananya Singh
Two Wheeler,GJ47JC6030,11:24:00,11:58:00,15-10-2025,Vikram Chatterjee
Two Wheeler,RJ34HR7721,16:14:00,18:00:00,15-10-2025,Karan Kapoor
Two Wheeler,RJ80AR6202,02:53:00,02:01:00,15-10-2025,Anirudh Reddy
Two Wheeler,UP82IG5406,23:37:00,23:35:00,15-10-2025,Ananya Singh
